2019-07-28 13:54:07,481:Key.alt_l
2019-07-28 13:54:07,544:Key.tab
2019-07-28 13:54:08,044:Key.alt_l
2019-07-28 13:54:08,106:Key.tab
2019-07-28 13:54:08,731:Key.enter
2019-07-28 13:54:12,824:Key.alt_l
2019-07-28 13:54:12,902:Key.f4
2019-07-28 13:54:15,980:Key.enter
2019-07-28 13:54:18,885:Key.left
2019-07-28 13:54:19,057:Key.right
2019-07-28 13:54:19,088:Key.up
2019-07-28 13:54:19,182:Key.left
2019-07-28 13:54:19,385:Key.right
2019-07-28 13:54:19,603:Key.up
2019-07-28 13:54:19,932:Key.enter
2019-07-28 13:54:32,476:Key.alt_l
2019-07-28 13:54:32,554:Key.tab
2019-07-28 13:54:35,428:Key.alt_l
2019-07-28 13:54:35,538:Key.tab
2019-07-28 13:54:36,272:Key.enter
2019-07-28 13:54:41,145:Key.alt_l
2019-07-28 13:54:41,239:Key.f4
2019-07-28 13:54:43,598:Key.enter
2019-07-28 13:54:45,395:Key.cmd
2019-07-28 13:54:45,691:'2'
2019-07-28 13:54:55,784:Key.alt_l
2019-07-28 13:54:55,882:Key.tab
2019-07-28 13:54:57,144:Key.alt_l
2019-07-28 13:54:57,188:Key.tab
2019-07-28 13:54:58,265:Key.alt_l
2019-07-28 13:54:58,784:Key.alt_l
2019-07-28 13:54:58,815:Key.alt_l
2019-07-28 13:54:58,851:Key.alt_l
2019-07-28 13:54:58,883:Key.alt_l
2019-07-28 13:54:58,915:Key.alt_l
2019-07-28 13:54:58,947:Key.alt_l
2019-07-28 13:54:58,980:Key.f4
2019-07-28 13:55:00,116:Key.alt_l
2019-07-28 13:55:00,188:Key.tab
2019-07-28 13:55:00,748:Key.alt_l
2019-07-28 13:55:00,830:Key.tab
2019-07-28 13:55:01,496:Key.alt_l
2019-07-28 13:55:01,824:Key.f4
2019-07-28 13:55:02,558:Key.cmd
2019-07-28 13:55:02,792:'2'
2019-07-28 13:55:05,533:<255>
2019-07-28 13:55:07,474:Key.ctrl_l
2019-07-28 13:55:07,854:'t'
2019-07-28 13:55:11,110:Key.ctrl_l
2019-07-28 13:55:11,190:Key.tab
2019-07-28 13:55:11,640:Key.ctrl_l
2019-07-28 13:55:11,688:Key.tab
2019-07-28 13:55:13,668:Key.ctrl_l
2019-07-28 13:55:13,780:Key.tab
2019-07-28 13:55:14,285:Key.ctrl_l
2019-07-28 13:55:14,521:'w'
2019-07-28 13:55:15,040:Key.ctrl_l
2019-07-28 13:55:15,231:'t'
2019-07-28 13:55:20,547:<173>
2019-07-28 13:55:21,874:Key.ctrl_l
2019-07-28 13:55:22,050:Key.tab
2019-07-28 13:57:24,936:Key.ctrl_l
2019-07-28 13:57:25,064:'w'
2019-07-28 13:57:51,068:Key.caps_lock
2019-07-28 13:57:51,482:Key.ctrl_l
2019-07-28 13:57:51,541:Key.tab
2019-07-28 13:57:55,766:Key.ctrl_l
2019-07-28 13:57:55,941:'w'
2019-07-28 13:58:57,948:Key.page_down
2019-07-28 13:58:58,245:Key.page_down
2019-07-28 13:58:58,685:Key.page_up
2019-07-28 13:59:02,498:Key.page_down
2019-07-28 13:59:04,901:Key.page_down
2019-07-28 13:59:05,230:Key.page_down
2019-07-28 13:59:05,546:Key.page_up
2019-07-28 13:59:05,862:Key.page_up
2019-07-28 13:59:05,870:Key.page_down
2019-07-28 13:59:06,090:Key.page_down
2019-07-28 13:59:06,356:Key.page_down
2019-07-28 13:59:06,576:Key.page_down
2019-07-28 13:59:06,897:Key.page_down
2019-07-28 13:59:07,248:Key.page_down
2019-07-28 13:59:07,859:Key.page_down
2019-07-28 13:59:08,354:Key.page_down
2019-07-28 13:59:08,695:Key.page_down
2019-07-28 13:59:09,116:Key.page_down
2019-07-28 13:59:10,029:Key.page_down
2019-07-28 13:59:10,478:Key.page_down
2019-07-28 13:59:50,994:Key.right
2019-07-28 13:59:55,610:Key.right
2019-07-28 13:59:56,714:Key.right
2019-07-28 14:00:01,387:Key.right
2019-07-28 14:00:03,151:Key.right
2019-07-28 14:00:06,311:Key.right
